ticker,company,sector,industry_group,theme,subtheme,supply_chain_layer,business_quality_score,latest_close,daily_return,weekly_return,monthly_return,ma20,ma50,ma200,above_20dma,above_50dma,above_200dma,high_52w,low_52w,distance_to_52w_high,latest_volume,avg_volume_20d,volume_ratio,updated_at
NVDA,NVIDIA,Technology,Semiconductor,AI Infrastructure,GPU,Compute,10,214.75,-0.03621760640406191,0.010112859053435397,0.08197301805062196,218.88300170898438,202.04940063476562,188.23082145690918,False,True,True,235.74000549316406,139.95701599121094,-0.08903879275498161,150147825,175689021.25,0.8546226960098111,2026-06-03
AVGO,Broadcom,Technology,Semiconductor,AI Infrastructure,Networking,Connectivity,9,479.2300109863281,-0.004859098993503563,0.1359930489424248,0.15061227127569787,430.68700103759767,395.0570007324219,353.884754486084,True,True,True,481.57000732421875,242.31661987304688,-0.004859098993503563,36128462,22409038.1,1.6122272557517763,2026-06-03
ANET,Arista,Technology,Networking Equipment,AI Infrastructure,Networking,Connectivity,8,174.3699951171875,-0.005475427501519303,0.12999804209689447,0.010137875388143591,150.69299926757813,151.18679962158203,140.69244953155518,True,True,True,177.72999572753906,86.25,-0.01890508462905982,6739552,13139892.6,0.5129076930202611,2026-06-03
CRDO,Credo,Technology,Semiconductor,AI Infrastructure,Optical,Connectivity,7,214.60000610351562,-0.06288206941696228,-0.02996876441741092,0.19182499729670455,201.04675064086913,166.13670043945314,146.80150047302246,True,True,True,236.02999877929688,68.52999877929688,-0.09079351263234836,9485221,7636031.05,1.2421663738520288,2026-06-03
TSM,TSMC,Technology,Semiconductor Foundry,AI Infrastructure,Foundry,Manufacturing,9,436.69000244140625,-0.022386890114720503,0.03302342178759954,0.08734846833834409,413.41199951171876,385.6465997314453,323.3744142913818,True,True,True,446.69000244140625,199.923828125,-0.022386890114720503,9113591,13040899.55,0.6988468061622328,2026-06-03
ASML,ASML,Technology,Semicap Equipment,AI Infrastructure,Equipment,Manufacturing Equipment,10,1726.3599853515625,0.012308173765501529,0.08041329433997646,0.24538131596170154,1581.179998779297,1474.4105810546876,1205.8614965820314,True,True,True,1726.3599853515625,686.0034790039062,0.0,1812048,1625732.4,1.11460410089631,2026-06-03
VRT,Vertiv,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,7,331.44000244140625,-0.009118323065009037,0.0364625796066651,0.0014200719671559892,339.145002746582,311.52840118408204,214.15902843475342,False,True,True,376.2300109863281,108.33609008789062,-0.11904953681791619,3852848,5728817.4,0.6725381053339211,2026-06-03
ETN,Eaton,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,8,421.2099914550781,0.008596322924823596,0.036518435209792255,-0.00015625491239512623,400.6024368286133,396.07863952636717,363.91382904052733,True,True,True,431.8166809082031,313.9706115722656,-0.024562945161860972,2147169,2710743.45,0.7920959838526954,2026-06-03
GEV,GE Vernova,Industrials,Power Equipment,AI Infrastructure,Power,Grid Infrastructure,7,959.3599853515625,-0.010632480885560236,-0.07028852713686329,-0.1066995400439974,1031.47548828125,1006.3443920898437,752.759499206543,False,False,True,1149.530029296875,464.2909240722656,-0.16543286308199578,1812226,2361841.3,0.767293721216578,2026-06-03
CEG,Constellation Energy,Utilities,Power Generation,AI Infrastructure,Energy,Power Supply,6,267.239990234375,-0.01984230252417818,-0.0742690972196528,-0.16631298669077976,284.94158325195315,290.52313537597655,321.463317565918,False,False,False,402.32196044921875,246.3466033935547,-0.3357558957607383,4298133,4245401.65,1.0124208153544199,2026-06-03
