ticker,company,cik,sec_title,updated_at
NVDA,NVIDIA,0001045810,NVIDIA CORP,2026-06-22 23:04:08
AVGO,Broadcom,0001730168,Broadcom Inc.,2026-06-22 23:04:08
ANET,Arista,0001596532,"Arista Networks, Inc.",2026-06-22 23:04:08
CRDO,Credo,0001807794,Credo Technology Group Holding Ltd,2026-06-22 23:04:08
TSM,TSMC,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,2026-06-22 23:04:08
ASML,ASML,0000937966,ASML HOLDING NV,2026-06-22 23:04:08
VRT,Vertiv,0001674101,Vertiv Holdings Co,2026-06-22 23:04:08
ETN,Eaton,0001551182,Eaton Corp plc,2026-06-22 23:04:08
GEV,GE Vernova,0001996810,GE Vernova Inc.,2026-06-22 23:04:08
CEG,Constellation Energy,0001868275,Constellation Energy Corp,2026-06-22 23:04:08
NBIS,Nebius,0001513845,Nebius Group N.V.,2026-06-22 23:04:08
CRWV,CoreWeave,0001769628,"CoreWeave, Inc.",2026-06-22 23:04:08
MRVL,Marvell,0001835632,"Marvell Technology, Inc.",2026-06-22 23:04:08
COHR,Coherent,0000820318,COHERENT CORP.,2026-06-22 23:04:08
NOK,Nokia,0000924613,NOKIA CORP,2026-06-22 23:04:08
TEAM,Atlassian,0001650372,Atlassian Corp,2026-06-22 23:04:08
DDOG,Datadog,0001561550,"Datadog, Inc.",2026-06-22 23:04:08
RDW,Redwire,0001819810,Redwire Corp,2026-06-22 23:04:08
PL,Planet Labs,0001836833,Planet Labs PBC,2026-06-22 23:04:08
UUUU,Energy Fuels,0001385849,ENERGY FUELS INC,2026-06-22 23:04:08
SMR,NuScale Power,0001822966,NUSCALE POWER Corp,2026-06-22 23:04:08
OKLO,Oklo,0001849056,Oklo Inc.,2026-06-22 23:04:08
RGTI,Rigetti Computing,0001838359,"Rigetti Computing, Inc.",2026-06-22 23:04:08
QBTS,D-Wave Quantum,0001907982,D-Wave Quantum Inc.,2026-06-22 23:04:08
IONQ,IonQ,0001824920,"IonQ, Inc.",2026-06-22 23:04:08
MU,Micron,0000723125,MICRON TECHNOLOGY INC,2026-06-22 23:04:08
SNDK,Sandisk,0002023554,Sandisk Corp,2026-06-22 23:04:08
ORCL,Oracle,0001341439,ORACLE CORP,2026-06-22 23:04:08
KEYS,Keysight Technologies,0001601046,"Keysight Technologies, Inc.",2026-06-22 23:04:08
FORM,FormFactor,0001039399,FORMFACTOR INC,2026-06-22 23:04:08
AEHR,Aehr Test Systems,0001040470,AEHR TEST SYSTEMS,2026-06-22 23:04:08
